t,state,dir,corners,laps,yaw,target_yaw,head_err,d_inner,d_outer,front,inner_end,corridor,steer,speed,n_pts
0.023,SIGUE_MURO,0,0,0,-23.5,0.0,28.41,,,1722.0,,643.5,10.5,42.9,366
0.049,SIGUE_MURO,0,0,0,-23.5,0.0,28.41,,,1722.0,,643.5,21.1,40.7,366
0.074,SIGUE_MURO,0,0,0,-23.5,0.0,28.41,,,1722.0,,643.5,31.6,38.6,366
0.099,SIGUE_MURO,0,0,0,-23.5,0.0,27.29,,,1722.0,,675.1,42.1,36.5,363
0.124,SIGUE_MURO,0,0,0,-23.5,0.0,26.67,,,1722.0,,675.1,52.6,34.3,363
0.15,SIGUE_MURO,0,0,0,-23.5,0.0,26.33,,,1722.0,,675.1,63.2,32.2,363
0.175,SIGUE_MURO,0,0,0,-23.5,0.0,25.79,,,1722.0,,601.8,61.9,32.5,358
0.2,SIGUE_MURO,0,0,0,-23.5,0.0,25.5,,,1722.0,,601.8,61.2,32.6,358
0.225,SIGUE_MURO,0,0,0,-23.5,0.0,25.33,,,1722.0,,601.8,60.8,32.7,358
0.253,SIGUE_MURO,0,0,0,-23.5,0.0,23.68,,,1722.0,,721.8,56.8,33.5,359
0.278,SIGUE_MURO,0,0,0,-23.5,0.0,22.77,,,1722.0,,721.8,54.6,33.9,359
0.304,SIGUE_MURO,1,0,0,-23.5,0.0,28.07,349.3,372.4,1722.0,458.3,721.8,65.2,31.8,359
0.33,SIGUE_MURO,1,0,0,-23.5,0.0,28.07,349.3,372.4,1722.0,458.3,721.8,67.4,31.4,359
0.356,SIGUE_MURO,1,0,0,-23.5,0.0,28.03,348.2,420.5,1722.0,438.3,826.0,67.3,31.4,358
0.381,SIGUE_MURO,1,0,0,-23.5,0.0,28.0,347.6,446.9,1722.0,438.3,826.0,67.2,31.4,358
0.407,SIGUE_MURO,1,0,0,-23.5,0.0,27.99,347.2,461.4,1722.0,438.3,826.0,67.2,31.4,358
0.431,SIGUE_MURO,1,0,0,-23.5,0.0,27.34,331.0,,1722.0,466.0,,65.6,31.7,358
0.456,SIGUE_MURO,1,0,0,-23.5,0.0,26.98,322.0,,1722.0,466.0,,64.8,31.9,358
